It: 198000, Loss: 3.807e-03, l1: 0.964, l2: 0.01808, Time: 26.54
It: 199000, Loss: 3.747e-03, l1: 0.964, l2: 0.01803, Time: 26.41
Loss history plot saved to plots/Re100wcplong/Re100wcplong_loss_hist.png
Lambda history plot saved to plots/Re100wcplong/Re100wcplong_lambda_hist.png
Model Training Complete for 200000 iterations
Model saved to models/Re100wcplong/Re100wcplong_200000.npz
==============================================================================
Running epilogue script on pink54.

Submit time  : 2025-03-15T12:47:08
Start time   : 2025-03-15T12:47:08
End time     : 2025-03-15T14:18:40
Elapsed time : 01:31:32 (Timelimit=1-12:00:00)

Job ID: 7185946
Cluster: i5
User/Group: fe1g22/pe
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 8
CPU Utilized: 01:32:11
CPU Efficiency: 12.59% of 12:12:16 core-walltime
Job Wall-clock time: 01:31:32
Memory Utilized: 2.10 GB
Memory Efficiency: 0.00% of 16.00 B

